Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,Global Insight Country Risk Ratings
Denmark,DNK,WE/EU,87,1,2.542474,8,82.83035,91.16965,83.25637
New Zealand,NZL,AP,87,1,2.28649,8,83.25015,90.74985,83.25637
Finland,FIN,WE/EU,86,3,2.924511,8,81.2038,90.7962,83.25637
Singapore,SGP,AP,85,4,2.0484,9,81.64063,88.35938,83.25637
Sweden,SWE,WE/EU,85,4,1.977693,8,81.75658,88.24342,83.25637
Switzerland,CHE,WE/EU,85,4,1.580087,7,82.40866,87.59134,83.25637
Norway,NOR,WE/EU,84,7,1.646693,7,81.29942,86.70058,83.25637
Netherlands,NLD,WE/EU,82,8,2.247029,8,78.31487,85.68513,83.25637
Germany,DEU,WE/EU,80,9,3.30976,8,74.57199,85.42801,83.25637
Luxembourg,LUX,WE/EU,80,9,1.954564,7,76.79452,83.20548,83.25637
Iceland,ISL,WE/EU,78,11,4.627051,7,70.41164,85.58836,83.25637
Australia,AUS,AP,77,12,1.317929,9,74.8386,79.1614,71.02245
Austria,AUT,WE/EU,77,12,1.568815,8,74.42715,79.57285,71.02245
Canada,CAN,AME,77,12,2.796791,8,72.41326,81.58674,71.02245
United Kingdom,GBR,WE/EU,77,12,3.337237,8,71.52693,82.47307,71.02245
Hong Kong,HKG,AP,76,16,3.152059,8,70.83063,81.16937,71.02245
Belgium,BEL,WE/EU,75,17,1.094819,7,73.2045,76.7955,71.02245
Estonia,EST,WE/EU,74,18,1.209875,10,72.01581,75.98419,71.02245
Ireland,IRL,WE/EU,74,18,3.610982,7,68.07799,79.92201,71.02245
Japan,JPN,AP,73,20,3.510482,9,67.24281,78.75719,71.02245
United Arab Emirates,ARE,MENA,71,21,5.126294,8,62.59288,79.40712,46.73721
Uruguay,URY,AME,71,21,2.472212,7,66.94557,75.05443,58.97113
France,FRA,WE/EU,69,23,2.280289,8,65.26032,72.73968,71.02245
United States of America,USA,AME,69,23,4.115168,9,62.25113,75.74888,71.02245
Bhutan,BTN,AP,68,25,2.756646,4,63.4791,72.5209,71.02245
Chile,CHL,AME,67,26,2.552611,9,62.81372,71.18628,58.97113
Seychelles,SYC,SSA,66,27,3.396858,4,60.42915,71.57085,71.02245
Taiwan,TWN,AP,65,28,3.034662,8,60.02316,69.97684,71.02245
Bahamas,BHS,AME,64,29,5.825616,3,54.44599,73.55401,58.97113
Barbados,BRB,AME,62,30,6.05961,4,52.06224,71.93776,71.02245
Portugal,PRT,WE/EU,62,30,2.819093,8,57.37669,66.62331,58.97113
Qatar,QAT,MENA,62,30,7.997069,7,48.88481,75.1152,46.73721
Spain,ESP,WE/EU,62,30,3.166087,8,56.80762,67.19238,58.97113
Botswana,BWA,SSA,61,34,3.731927,7,54.87964,67.12036,71.02245
Brunei Darussalam,BRN,AP,60,35,6.118152,3,49.96623,70.03377,71.02245
Israel,ISR,MENA,60,35,1.989104,7,56.73787,63.26213,58.97113
Lithuania,LTU,WE/EU,60,35,2.319473,9,56.19606,63.80394,58.97113
Slovenia,SVN,WE/EU,60,35,2.283508,10,56.25505,63.74495,71.02245
"Korea, South",KOR,AP,59,39,2.438926,10,55.00016,62.99984,58.97113
Saint Vincent and the Grenadines,VCT,AME,59,39,4.14181,3,52.20743,65.79257,58.97113
Cabo Verde,CPV,SSA,58,41,4.298384,4,50.95065,65.04935,58.97113
Cyprus,CYP,WE/EU,58,41,3.413456,7,52.40193,63.59807,58.97113
Poland,POL,WE/EU,58,41,1.84505,10,54.97412,61.02588,58.97113
Costa Rica,CRI,AME,56,44,3.971018,7,49.48753,62.51247,46.73721
Czech Republic,CZE,WE/EU,56,44,1.868036,10,52.93642,59.06358,58.97113
Georgia,GEO,ECA,56,44,3.835593,5,49.70963,62.29037,46.73721
